category,cr_name,cr_price_pln,cr_url,bd_name,bd_price_eur,bd_url,match_confidence,matched_at
hamulce,Hamulec tarczowy SHIMANO XTR BL-M9220 / BR-M9220,869.99,https://www.centrumrowerowe.pl/hamulec-tarczowy-shimano-xtr-bl-m9220-br-m9220-pd49087/?v_Id=263888,XTR BL-M9220/BR-M9220 Disc Brake Set,439.99,https://www.bike-discount.de/en/shimano-xtr-bl-m9220/br-m9220-disc-brake-set,0.95,2026-03-03 10:56:57.569663
hamulce,Hamulec tarczowy SRAM DB8,189.99,https://www.centrumrowerowe.pl/hamulec-tarczowy-sram-db8-pd31524/,DB8 Stealth Disc Brake Set,159.99,https://www.bike-discount.de/en/sram-db8-stealth-disc-brake-set,0.95,2026-03-03 10:55:42.181866
hamulce,Hamulec tarczowy SRAM Maven Ultimate,939.99,https://www.centrumrowerowe.pl/hamulec-tarczowy-sram-maven-ultimate-pd40381/,Maven Ultimate Stealth Disc Brake Set,419.99,https://www.bike-discount.de/en/sram-maven-ultimate-stealth-disc-brake-set,0.95,2026-03-03 10:57:02.829776
hamulce,Zacisk hamulca tarczowego SHIMANO Deore BR-M6120,256.99,https://www.centrumrowerowe.pl/zacisk-hamulca-tarczowego-shimano-deore-br-m6120-pd31586/,DEORE BR-M6120 Disc Brake Set,159.99,https://www.bike-discount.de/en/shimano-deore-br-m6120-disc-brake-set,0.95,2026-03-03 10:55:49.953920
hamulce,Zacisk hamulca tarczowego SHIMANO Deore XT BR-M8100,174.99,https://www.centrumrowerowe.pl/zacisk-hamulca-tarczowego-shimano-deore-xt-br-m8100-pd20242/,XT BR-M8100 Disc Brake 1000mm front,94.99,https://www.bike-discount.de/en/shimano-xt-br-m8100-disc-brake-1000mm-front,0.95,2026-03-03 10:55:40.841059
hamulce,Zacisk hamulca tarczowego SHIMANO Deore XT BR-M8110,249.99,https://www.centrumrowerowe.pl/zacisk-hamulca-tarczowego-shimano-deore-xt-br-m8110-pd23339/,XT BL-M8100+BR-M8110 Rear Disc Brake J-Kit | Flat-Mount (15mm),49.99,https://www.bike-discount.de/en/shimano-xt-bl-m8100-br-m8110-rear-disc-brake-j-kit-flat-mount-15mm,0.95,2026-03-03 10:57:11.875538
hamulce,Zacisk hamulca tarczowego SHIMANO Deore XT BR-M8220,319.99,https://www.centrumrowerowe.pl/zacisk-hamulca-tarczowego-shimano-deore-xt-br-m8220-pd52630/,XT BL-M8200/BR-M8220 Disc Brake Set,339.99,https://www.bike-discount.de/en/shimano-xt-bl-m8200/br-m8220-disc-brake-set,0.95,2026-03-03 10:57:13.207061
hamulce,Zacisk hamulca tarczowego SHIMANO SLX BR-M7100,114.99,https://www.centrumrowerowe.pl/zacisk-hamulca-tarczowego-shimano-slx-br-m7100-pd20166/,SLX BR-M7100 Disc Brake Set,159.99,https://www.bike-discount.de/en/shimano-slx-br-m7100-disc-brake-set,0.95,2026-03-03 10:55:24.048021
hamulce,Zacisk hamulca tarczowego SHIMANO SLX BR-M7120,269.99,https://www.centrumrowerowe.pl/zacisk-hamulca-tarczowego-shimano-slx-br-m7120-pd20165/,SLX BR-M7120 Disc Brake Set,199.99,https://www.bike-discount.de/en/shimano-slx-br-m7120-disc-brake-set,0.95,2026-03-03 10:55:53.845304
hamulce,Zacisk hamulca tarczowego SHIMANO Saint BR-M820,414.99,https://www.centrumrowerowe.pl/zacisk-hamulca-tarczowego-shimano-saint-br-m820-pd7613/,SAINT BR-M820-B Disc Brake Set,319.99,https://www.bike-discount.de/en/shimano-saint-br-m820-b-disc-brake-set,0.95,2026-03-03 10:57:15.766550
